Year,LifeExpectancy
1961,52.84647749
1962,55.20878269
1963,55.54242961
1964,56.03495286
1965,55.86070631
1966,56.3898037
1967,56.79483281
1968,57.22546217
1969,57.5355889
1970,57.84098147
1971,57.96728596
1972,58.79295676
1973,59.29467367
1974,59.71366648
1975,60.16614915
1976,60.62583826
1977,61.12096608
1978,61.48148996
1979,61.90281717
1980,62.23361694
1981,62.61140177
1982,62.97232219
1983,63.21575937
1984,63.52021652
1985,63.81240262
1986,64.20835065
1987,64.51289391
1988,64.68498123
1989,65.02292629
1990,65.18850746
1991,65.33529376
1992,65.59648551
1993,65.78035308
1994,66.02536952
1995,66.21577566
1996,66.48015905
1997,66.82185013
1998,67.09683991
1999,67.38722654
2000,67.70052424
2001,68.05237151
2002,68.33338793
2003,68.60692214
2004,68.86237766
2005,69.1988121
2006,69.57129842
2007,69.83519378
2008,70.00607204
2009,70.40147869
2010,70.67112933
2011,71.00821736
2012,71.28424956
2013,71.5771009
2014,71.88068161
2015,72.094175
2016,72.34420067
2017,72.54135839
2018,72.78303635
2019,72.97902042
2020,72.2425046
2021,71.32715674
2022,71.99635238
